u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge
30227027,30227025,0,4743362,residential,,30,Carrer de Guàrdia,True,False,123.68203690505004,"LINESTRING (2.1745094 41.3775175, 2.1744727 41.3775336, 2.1733778 41.3781867, 2.1733456 41.3782059)",,,,,,,
30227032,30227052,0,295215797,tertiary,,30,Carrer Nou de la Rambla,True,False,50.37097247492521,"LINESTRING (2.1728957 41.3777597, 2.1725506 41.3774462, 2.1725123 41.3774098)",,,,,,,
30227034,30227032,0,4743363,living_street,,20,Carrer de l'Est,True,False,120.39725143234968,"LINESTRING (2.1739954 41.3770587, 2.1733853 41.3774476, 2.1729182 41.3777464, 2.1728957 41.3777597)",,,,,,,
30227035,30227037,0,4743364,residential,,30,Carrer de la Junta del Comerç,True,False,194.61946816836326,"LINESTRING (2.1708255 41.3805733, 2.1708451 41.3805502, 2.1714709 41.3798139, 2.1721135 41.3791144)",,,,,,,
30227035,30227468,0,"[295215802, 295215803, 241868444]",tertiary,1,10,Carrer de l'Hospital,True,False,101.38172876406198,"LINESTRING (2.1708255 41.3805733, 2.1707788 41.3805587, 2.1704212 41.3804469, 2.1701952 41.3803787, 2.1701498 41.380365, 2.1701137 41.3803544, 2.1697559 41.3802606, 2.1696928 41.3802441)",,,,,,,
30227048,30227049,0,18618230,living_street,,20,Carrer d'Espalter,True,False,73.06096803302793,"LINESTRING (2.1705237 41.3786939, 2.1711198 41.3782126)",,,,,,,
30227048,192071165,0,62173510,living_street,,20,Carrer de Sant Josep Oriol,False,True,54.620967848274375,"LINESTRING (2.1705237 41.3786939, 2.1700382 41.378447, 2.1699818 41.3784183)",,,,,,,
30227050,13134439125,0,"[4743368, 10427092, 1428778317]","['living_street', 'residential']",,30,"['Carrer del Marquès de Barberà', 'Carrer de la Unió']",True,False,337.28954947686793,"LINESTRING (2.1717029 41.3778764, 2.1717207 41.3778936, 2.1728352 41.3789671, 2.1732829 41.379414, 2.1735882 41.3797013, 2.1739569 41.3800435, 2.1739785 41.3800635, 2.1740277 41.3801128, 2.1740483 41.3801271, 2.1741234 41.380179, 2.1741898 41.3802249, 2.1742206 41.3802462)",,,,,,,
30227050,30227052,0,18618300,living_street,,20,Carrer de Sant Ramon,True,False,85.16330296619444,"LINESTRING (2.1717029 41.3778764, 2.1717548 41.3778465, 2.1720621 41.3776693, 2.172465 41.3774368, 2.1725123 41.3774098)",,,,,,,
30227050,30227049,0,1028689883,living_street,,20,Carrer de Sant Ramon,True,False,61.35606319695639,"LINESTRING (2.1717029 41.3778764, 2.171655 41.377904, 2.1711198 41.3782126)",,,,,,,
30227052,10266016765,0,553234915,tertiary,1,30,Carrer Nou de la Rambla,True,False,61.1216200400149,"LINESTRING (2.1725123 41.3774098, 2.17223 41.3771378, 2.172197 41.3771035, 2.1721214 41.3770303, 2.1720881 41.3769649)",,,,,,,
30227068,30227050,0,4743368,residential,,30,Carrer del Marquès de Barberà,True,False,68.51447022354554,"LINESTRING (2.1711983 41.3773903, 2.1712565 41.3774464, 2.1716716 41.3778463, 2.1716805 41.3778548, 2.1717029 41.3778764)",,,,,,,
30227068,3743057429,0,10851867,tertiary,2,30,Carrer de Sant Oleguer,False,False,75.69387636509852,"LINESTRING (2.1711983 41.3773903, 2.1716091 41.3771863, 2.1719556 41.3770155)",,,,,,,
30227068,5306386384,0,10851867,tertiary,2,30,Carrer de Sant Oleguer,False,True,70.8267492076646,"LINESTRING (2.1711983 41.3773903, 2.1711421 41.3774171, 2.1705603 41.3777, 2.1704856 41.3777363)",,,,,,,
30227131,30227132,0,4743384,living_street,,,Carrer de Cardona,True,False,70.28802311113303,"LINESTRING (2.1651064 41.3811112, 2.1653257 41.3811269, 2.1658285 41.3811653, 2.1658782 41.3811731, 2.1659017 41.3811818, 2.1659327 41.3812005)",,,,,,,
30227131,30227139,0,4743390,residential,,,Carrer de Sant Vicenç,True,False,27.27399771614813,"LINESTRING (2.1651064 41.3811112, 2.1652286 41.3809376, 2.1652572 41.3808936)",,,,,,,
30227132,30227133,0,11300057,living_street,,,Carrer de Guifré,True,False,84.01019620103158,"LINESTRING (2.1659327 41.3812005, 2.1667236 41.3816681)",,,,,,,
30227132,30227153,0,12373202,living_street,,,Carrer de la Lluna,False,True,82.01694189195996,"LINESTRING (2.1659327 41.3812005, 2.1652892 41.3817581)",,,,,,,
30227132,30227154,0,12373202,living_street,,,Carrer de la Lluna,False,False,67.09936473343612,"LINESTRING (2.1659327 41.3812005, 2.1664412 41.3807503, 2.1664529 41.3807403)",,,,,,,
